nodes,techs,timesteps,storage
region2,battery,2005-01-05 06:00:00,5239.2461
region2,battery,2005-01-05 07:00:00,5239.2461
region2,battery,2005-01-05 08:00:00,5031.3379
region2,battery,2005-01-05 09:00:00,4567.9071
region2,battery,2005-01-05 10:00:00,4494.9471
region2,battery,2005-01-05 11:00:00,4610.1358
region2,battery,2005-01-05 12:00:00,4862.346
region2,battery,2005-01-05 13:00:00,4906.8611
region2,battery,2005-01-05 14:00:00,4210.5263
region2,battery,2005-01-05 15:00:00,3157.8947
region2,battery,2005-01-05 16:00:00,2105.2632
region2,battery,2005-01-05 17:00:00,1052.6316
region2,battery,2005-01-05 18:00:00,0.0
region2,battery,2005-01-05 19:00:00,0.0
region2,battery,2005-01-05 20:00:00,0.0
region2,battery,2005-01-05 21:00:00,0.0
region2,battery,2005-01-05 22:00:00,0.0
region2,battery,2005-01-05 23:00:00,0.0
