nodes,techs,carriers,timesteps,flow_in
X1,X1_to_X3,electricity,2005-07-02 03:00:00,19.145829
X1,X1_to_X3,electricity,2005-07-02 04:00:00,19.145829
X1,X1_to_X3,electricity,2005-07-02 05:00:00,16.67389
X1,X1_to_X3,electricity,2005-07-02 06:00:00,10.428992
X1,X1_to_X3,electricity,2005-07-02 07:00:00,4.4009306
X1,X1_to_X3,electricity,2005-07-02 08:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 09:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 10:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 11:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 12:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 13:00:00,0.0
X1,X1_to_X3,electricity,2005-07-02 14:00:00,1.5820531
X1,X1_to_X3,electricity,2005-07-02 15:00:00,6.8514472
X1,X1_to_X3,electricity,2005-07-02 16:00:00,11.340229
X1,X1_to_X3,electricity,2005-07-02 17:00:00,14.678992
X1,X1_to_X3,electricity,2005-07-02 18:00:00,17.281033
X1,X1_to_X3,electricity,2005-07-02 19:00:00,18.885625
X1,X1_to_X3,electricity,2005-07-02 20:00:00,19.145829
X1,X1_to_X3,electricity,2005-07-02 21:00:00,19.145829
X1,X1_to_X3,electricity,2005-07-02 22:00:00,19.145829
X1,X1_to_X3,electricity,2005-07-02 23:00:00,19.145829
X1,chp,gas,2005-07-01 00:00:00,286.60914
X1,chp,gas,2005-07-01 01:00:00,242.17993
X1,chp,gas,2005-07-01 02:00:00,243.44693
X1,chp,gas,2005-07-01 03:00:00,243.44866
X1,chp,gas,2005-07-01 04:00:00,256.80446
X1,chp,gas,2005-07-01 05:00:00,445.86764
X1,chp,gas,2005-07-01 06:00:00,546.36434
X1,chp,gas,2005-07-01 07:00:00,644.31283
X1,chp,gas,2005-07-01 08:00:00,644.31283
X1,chp,gas,2005-07-01 09:00:00,644.31283
X1,chp,gas,2005-07-01 10:00:00,542.34884
X1,chp,gas,2005-07-01 11:00:00,540.19204
X1,chp,gas,2005-07-01 12:00:00,517.76237
X1,chp,gas,2005-07-01 13:00:00,457.24151
X1,chp,gas,2005-07-01 14:00:00,486.52183
X1,chp,gas,2005-07-01 15:00:00,565.04537
X1,chp,gas,2005-07-01 16:00:00,484.44186
X1,chp,gas,2005-07-01 17:00:00,644.31283
X1,chp,gas,2005-07-01 18:00:00,644.31283
X1,chp,gas,2005-07-01 19:00:00,644.31283
X1,chp,gas,2005-07-01 20:00:00,644.31283
X1,chp,gas,2005-07-01 21:00:00,567.6235
X1,chp,gas,2005-07-01 22:00:00,390.03571
X1,chp,gas,2005-07-01 23:00:00,287.35247
X1,chp,gas,2005-07-02 00:00:00,306.85784
X1,chp,gas,2005-07-02 01:00:00,264.69993
X1,chp,gas,2005-07-02 02:00:00,260.77539
X1,chp,gas,2005-07-02 03:00:00,266.61761
X1,chp,gas,2005-07-02 04:00:00,277.37764
X1,chp,gas,2005-07-02 05:00:00,414.85931
X1,chp,gas,2005-07-02 06:00:00,529.19569
X1,chp,gas,2005-07-02 07:00:00,614.23519
X1,chp,gas,2005-07-02 08:00:00,590.44156
X1,chp,gas,2005-07-02 09:00:00,565.90158
X1,chp,gas,2005-07-02 10:00:00,531.68682
X1,chp,gas,2005-07-02 11:00:00,433.87846
X1,chp,gas,2005-07-02 12:00:00,394.61257
X1,chp,gas,2005-07-02 13:00:00,393.24354
X1,chp,gas,2005-07-02 14:00:00,454.32358
X1,chp,gas,2005-07-02 15:00:00,537.42903
X1,chp,gas,2005-07-02 16:00:00,479.23772
X1,chp,gas,2005-07-02 17:00:00,644.31283
X1,chp,gas,2005-07-02 18:00:00,644.31283
X1,chp,gas,2005-07-02 19:00:00,644.31283
X1,chp,gas,2005-07-02 20:00:00,644.31283
X1,chp,gas,2005-07-02 21:00:00,544.5231
X1,chp,gas,2005-07-02 22:00:00,390.17849
X1,chp,gas,2005-07-02 23:00:00,310.03471
X1,demand_electricity,electricity,2005-07-01 00:00:00,0.455564
X1,demand_electricity,electricity,2005-07-01 01:00:00,0.40579801
X1,demand_electricity,electricity,2005-07-01 02:00:00,0.39329139
X1,demand_electricity,electricity,2005-07-01 03:00:00,0.39399224
X1,demand_electricity,electricity,2005-07-01 04:00:00,0.44008539
X1,demand_electricity,electricity,2005-07-01 05:00:00,0.56782052
X1,demand_electricity,electricity,2005-07-01 06:00:00,0.73253453
X1,demand_electricity,electricity,2005-07-01 07:00:00,0.71380309
X1,demand_electricity,electricity,2005-07-01 08:00:00,0.68999165
X1,demand_electricity,electricity,2005-07-01 09:00:00,0.70765008
X1,demand_electricity,electricity,2005-07-01 10:00:00,0.72360103
X1,demand_electricity,electricity,2005-07-01 11:00:00,0.70405949
X1,demand_electricity,electricity,2005-07-01 12:00:00,0.67747625
X1,demand_electricity,electricity,2005-07-01 13:00:00,0.66289236
X1,demand_electricity,electricity,2005-07-01 14:00:00,0.68306011
X1,demand_electricity,electricity,2005-07-01 15:00:00,0.78037037
X1,demand_electricity,electricity,2005-07-01 16:00:00,0.94063434
X1,demand_electricity,electricity,2005-07-01 17:00:00,0.97838821
X1,demand_electricity,electricity,2005-07-01 18:00:00,1.0220629
X1,demand_electricity,electricity,2005-07-01 19:00:00,1.1695188
X1,demand_electricity,electricity,2005-07-01 20:00:00,1.3079378
X1,demand_electricity,electricity,2005-07-01 21:00:00,1.0993344
X1,demand_electricity,electricity,2005-07-01 22:00:00,0.82621238
X1,demand_electricity,electricity,2005-07-01 23:00:00,0.55949884
X1,demand_electricity,electricity,2005-07-02 00:00:00,0.455564
X1,demand_electricity,electricity,2005-07-02 01:00:00,0.40579801
X1,demand_electricity,electricity,2005-07-02 02:00:00,0.39329139
X1,demand_electricity,electricity,2005-07-02 03:00:00,0.39399224
X1,demand_electricity,electricity,2005-07-02 04:00:00,0.44008539
X1,demand_electricity,electricity,2005-07-02 05:00:00,0.56782052
X1,demand_electricity,electricity,2005-07-02 06:00:00,0.73253453
X1,demand_electricity,electricity,2005-07-02 07:00:00,0.71380309
X1,demand_electricity,electricity,2005-07-02 08:00:00,0.68999165
X1,demand_electricity,electricity,2005-07-02 09:00:00,0.70765008
X1,demand_electricity,electricity,2005-07-02 10:00:00,0.72360103
X1,demand_electricity,electricity,2005-07-02 11:00:00,0.70405949
X1,demand_electricity,electricity,2005-07-02 12:00:00,0.67747625
X1,demand_electricity,electricity,2005-07-02 13:00:00,0.66289236
X1,demand_electricity,electricity,2005-07-02 14:00:00,0.68306011
X1,demand_electricity,electricity,2005-07-02 15:00:00,0.78037037
X1,demand_electricity,electricity,2005-07-02 16:00:00,0.94063434
X1,demand_electricity,electricity,2005-07-02 17:00:00,0.97838821
X1,demand_electricity,electricity,2005-07-02 18:00:00,1.0220629
X1,demand_electricity,electricity,2005-07-02 19:00:00,1.1695188
X1,demand_electricity,electricity,2005-07-02 20:00:00,1.3079378
X1,demand_electricity,electricity,2005-07-02 21:00:00,1.0993344
X1,demand_electricity,electricity,2005-07-02 22:00:00,0.82621238
X1,demand_electricity,electricity,2005-07-02 23:00:00,0.55949884
X1,demand_heat,heat,2005-07-01 00:00:00,0.21537649
X1,demand_heat,heat,2005-07-01 01:00:00,0.20083754
X1,demand_heat,heat,2005-07-01 02:00:00,0.2073057
X1,demand_heat,heat,2005-07-01 03:00:00,0.31894906
X1,demand_heat,heat,2005-07-01 04:00:00,0.65073362
X1,demand_heat,heat,2005-07-01 05:00:00,1.0393844
X1,demand_heat,heat,2005-07-01 06:00:00,1.1815674
X1,demand_heat,heat,2005-07-01 07:00:00,1.2854033
X1,demand_heat,heat,2005-07-01 08:00:00,1.2091174
X1,demand_heat,heat,2005-07-01 09:00:00,1.2199124
X1,demand_heat,heat,2005-07-01 10:00:00,0.73629513
X1,demand_heat,heat,2005-07-01 11:00:00,0.57235632
X1,demand_heat,heat,2005-07-01 12:00:00,0.52914855
X1,demand_heat,heat,2005-07-01 13:00:00,0.48790448
X1,demand_heat,heat,2005-07-01 14:00:00,0.49190028
X1,demand_heat,heat,2005-07-01 15:00:00,0.53964202
X1,demand_heat,heat,2005-07-01 16:00:00,0.64177486
X1,demand_heat,heat,2005-07-01 17:00:00,0.74086482
X1,demand_heat,heat,2005-07-01 18:00:00,0.76118763
X1,demand_heat,heat,2005-07-01 19:00:00,0.70651532
X1,demand_heat,heat,2005-07-01 20:00:00,0.63359287
X1,demand_heat,heat,2005-07-01 21:00:00,0.52322782
X1,demand_heat,heat,2005-07-01 22:00:00,0.40101127
X1,demand_heat,heat,2005-07-01 23:00:00,0.27206034
X1,demand_heat,heat,2005-07-02 00:00:00,0.21654423
X1,demand_heat,heat,2005-07-02 01:00:00,0.20352672
X1,demand_heat,heat,2005-07-02 02:00:00,0.40127058
X1,demand_heat,heat,2005-07-02 03:00:00,0.75123129
X1,demand_heat,heat,2005-07-02 04:00:00,1.1427275
X1,demand_heat,heat,2005-07-02 05:00:00,1.7197109
X1,demand_heat,heat,2005-07-02 06:00:00,1.6431018
X1,demand_heat,heat,2005-07-02 07:00:00,1.5819593
X1,demand_heat,heat,2005-07-02 08:00:00,1.3784603
X1,demand_heat,heat,2005-07-02 09:00:00,1.3359494
X1,demand_heat,heat,2005-07-02 10:00:00,0.75827004
X1,demand_heat,heat,2005-07-02 11:00:00,0.57208636
X1,demand_heat,heat,2005-07-02 12:00:00,0.52868174
X1,demand_heat,heat,2005-07-02 13:00:00,0.48710778
X1,demand_heat,heat,2005-07-02 14:00:00,0.49109729
X1,demand_heat,heat,2005-07-02 15:00:00,0.54006769
X1,demand_heat,heat,2005-07-02 16:00:00,0.64150981
X1,demand_heat,heat,2005-07-02 17:00:00,0.74109776
X1,demand_heat,heat,2005-07-02 18:00:00,0.76182166
X1,demand_heat,heat,2005-07-02 19:00:00,0.70707454
X1,demand_heat,heat,2005-07-02 20:00:00,0.63409183
X1,demand_heat,heat,2005-07-02 21:00:00,0.52370717
X1,demand_heat,heat,2005-07-02 22:00:00,0.40078704
X1,demand_heat,heat,2005-07-02 23:00:00,0.27204031
X2,N1_to_X2,heat,2005-07-01 00:00:00,125.51063
X2,N1_to_X2,heat,2005-07-01 01:00:00,0.0
X2,N1_to_X2,heat,2005-07-01 02:00:00,0.0
X2,N1_to_X2,heat,2005-07-01 03:00:00,0.0
X2,N1_to_X2,heat,2005-07-01 04:00:00,0.0
X2,N1_to_X2,heat,2005-07-01 05:00:00,0.0
X2,N1_to_X2,heat,2005-07-01 06:00:00,0.0
